<html> <head>  <title>AERONET Data Download (Version 3 Direct Sun)</title><h2>AERONET Data Download (Version 3 Direct Sun)</h2>
</head>
<body bgcolor= "#FFFFFF" 
><strong>AERONET Version 3<br>
</strong>Version 3: AOD Level 2.0<br>
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.<br>
Contact: PI=Paulo_Artaxo; PI Email=artaxo@if.usp.br<br>
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[AOD_Empty],N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m)<br>
Sao_Paulo,28:10:2010,12:00:00,301,-999.,0.086657,0.105005,-999.,-999.,0.133401,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.197541,-999.,-999.,0.243037,-999.,-999.,0.290805,0.331858,1.367379,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.212826,1.369476,1.368284,1.141675,1.221911,-999.,0,20,26,0,0,26,0,0,0,0,0,0,0,0,26,0,0,26,0,0,26,26,26,0,0,0,0,0,0,0,26,26,26,26,26,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,29:10:2010,12:00:00,302,-999.,0.100340,0.123465,-999.,-999.,0.166726,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.260605,-999.,-999.,0.324024,-999.,-999.,0.403465,0.468608,1.571706,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.412699,1.595216,1.538974,1.363394,1.464099,-999.,0,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,19,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,02:11:2010,12:00:00,306,-999.,0.115875,0.148277,-999.,-999.,0.210860,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.313713,-999.,-999.,0.369081,-999.,-999.,0.438309,0.495485,1.394046,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.339511,1.193497,1.312691,1.369010,1.154382,-999.,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,03:11:2010,12:00:00,307,-999.,0.128642,0.159746,-999.,-999.,0.225674,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.357654,-999.,-999.,0.442306,-999.,-999.,0.542683,0.618114,1.881279,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.478984,1.493337,1.558485,1.452821,1.369073,-999.,0,22,22,0,0,22,0,0,0,0,0,0,0,0,22,0,0,22,0,0,22,20,22,0,0,0,0,0,0,0,22,22,22,22,22,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,04:11:2010,12:00:00,308,-999.,0.109993,0.140175,-999.,-999.,0.206552,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.332493,-999.,-999.,0.406535,-999.,-999.,0.493214,0.538106,2.343510,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.566002,1.406836,1.586420,1.577991,1.258835,-999.,0,26,26,0,0,26,0,0,0,0,0,0,0,0,26,0,0,26,0,0,26,23,26,0,0,0,0,0,0,0,26,26,26,26,26,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,05:11:2010,12:00:00,309,-999.,0.093551,0.118291,-999.,-999.,0.176068,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.286188,-999.,-999.,0.349184,-999.,-999.,0.421207,0.474092,2.534141,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.595871,1.378481,1.606364,1.616999,1.201986,-999.,0,18,18,0,0,18,0,0,0,0,0,0,0,0,18,0,0,18,0,0,18,18,18,0,0,0,0,0,0,0,18,18,18,18,18,0,lev20,624,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,27:11:2010,12:00:00,331,-999.,0.065548,0.083193,-999.,-999.,0.122646,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.203066,-999.,-999.,0.252474,-999.,-999.,-999.,-999.,2.284125,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.657853,1.787760,1.720498,1.641312,-999.,-999.,0,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,9,0,0,0,0,13,0,0,0,0,0,0,0,13,9,13,13,0,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,28:11:2010,12:00:00,332,-999.,0.040054,0.048535,-999.,-999.,0.069495,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.118013,-999.,-999.,0.149904,-999.,-999.,-999.,-999.,1.590793,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.676908,1.897264,1.818631,1.619614,-999.,-999.,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,5,0,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,29:11:2010,12:00:00,333,-999.,0.071256,0.081944,-999.,-999.,0.107860,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.161426,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.987740,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.240429,-999.,1.359571,1.240429,-999.,-999.,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,02:12:2010,12:00:00,336,-999.,0.058128,0.070225,-999.,-999.,0.098246,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.161937,-999.,-999.,0.194157,-999.,-999.,-999.,-999.,3.542405,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.522687,1.415584,1.613988,1.521274,-999.,-999.,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,05:12:2010,12:00:00,339,-999.,0.042543,0.050440,-999.,-999.,0.070035,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.116115,-999.,-999.,0.135863,-999.,-999.,-999.,-999.,3.556565,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.503168,1.254331,1.613353,1.518263,-999.,-999.,0,17,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,13,0,0,0,0,17,0,0,0,0,0,0,0,17,13,17,17,0,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,11:03:2011,12:00:00,70,-999.,0.059318,0.072820,-999.,-999.,0.104322,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.166567,-999.,-999.,0.182783,-999.,-999.,0.225332,0.229454,3.243231,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.327845,1.145909,1.377444,1.459115,0.938290,-999.,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,13:03:2011,12:00:00,72,-999.,0.096940,0.122334,-999.,-999.,0.180660,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.293072,-999.,-999.,0.331525,-999.,-999.,0.408619,0.419741,3.580210,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.491386,1.226302,1.451973,1.578754,0.943814,-999.,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,17:03:2011,12:00:00,76,-999.,0.111870,0.143232,-999.,-999.,0.210897,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.330109,-999.,-999.,0.377896,-999.,-999.,0.445158,0.449256,3.347197,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.454340,1.089500,1.402942,1.518667,0.674470,-999.,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,21:03:2011,12:00:00,80,-999.,0.048174,0.058684,-999.,-999.,0.084389,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.143780,-999.,-999.,0.158572,-999.,-999.,0.207669,0.209506,2.500441,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.526504,1.356647,1.545239,1.632731,1.117573,-999.,0,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,16:04:2011,12:00:00,106,-999.,0.093743,0.116839,-999.,-999.,0.171140,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.278931,-999.,-999.,0.324775,-999.,-999.,0.407592,0.427994,2.844708,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.530477,1.381118,1.528261,1.580884,1.095867,-999.,0,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,17:04:2011,12:00:00,107,-999.,0.089210,0.114854,-999.,-999.,0.172524,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.281408,-999.,-999.,0.324052,-999.,-999.,0.392339,0.393214,2.439494,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.541371,1.313032,1.502244,1.617594,1.041591,-999.,0,28,28,0,0,28,0,0,0,0,0,0,0,0,28,0,0,28,0,0,27,25,28,0,0,0,0,0,0,0,28,28,28,28,27,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,18:04:2011,12:00:00,108,-999.,0.088499,0.111486,-999.,-999.,0.160537,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.252940,-999.,-999.,0.290188,-999.,-999.,0.354364,0.367527,2.347486,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.411793,1.260572,1.413398,1.467953,0.956579,-999.,0,39,39,0,0,39,0,0,0,0,0,0,0,0,39,0,0,38,0,0,38,37,39,0,0,0,0,0,0,0,39,38,39,39,38,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,19:04:2011,12:00:00,109,-999.,0.088436,0.112693,-999.,-999.,0.167687,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.275756,-999.,-999.,0.321100,-999.,-999.,0.398127,0.427791,2.402339,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.569156,1.329005,1.553000,1.626526,1.108929,-999.,0,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,14,14,0,0,0,0,0,0,0,14,14,14,14,14,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,20:04:2011,12:00:00,110,-999.,0.137652,0.175350,-999.,-999.,0.256067,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.409009,-999.,-999.,0.476415,-999.,-999.,0.578908,0.566263,2.680858,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.475722,1.269721,1.467098,1.524766,0.956127,-999.,0,15,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,15,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,21:04:2011,12:00:00,111,-999.,0.038983,0.044638,-999.,-999.,0.055429,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.087233,-999.,-999.,0.093347,-999.,-999.,0.127273,0.123037,2.317423,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.142112,1.387702,1.262408,1.216898,1.094015,-999.,0,45,45,0,0,45,0,0,0,0,0,0,0,0,45,0,0,45,0,0,45,45,45,0,0,0,0,0,0,0,45,45,45,45,45,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,22:04:2011,12:00:00,112,-999.,0.041595,0.049243,-999.,-999.,0.066877,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.112539,-999.,-999.,0.127039,-999.,-999.,0.179396,0.187287,2.332951,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.445998,1.705776,1.542788,1.502802,1.525531,-999.,0,50,50,0,0,50,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,50,50,0,0,0,0,0,0,0,50,50,50,50,50,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,23:04:2011,12:00:00,113,-999.,0.061848,0.070814,-999.,-999.,0.090142,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.142438,-999.,-999.,0.162901,-999.,-999.,0.220180,0.229382,2.306968,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.262203,1.587965,1.406932,1.269262,1.349028,-999.,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,25:04:2011,12:00:00,115,-999.,0.133439,0.170127,-999.,-999.,0.248597,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.396647,-999.,-999.,0.464792,-999.,-999.,0.565290,0.593215,2.769202,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.483030,1.333160,1.504150,1.515309,0.966483,-999.,0,8,8,0,0,8,0,0,0,0,0,0,0,0,8,0,0,8,0,0,8,8,8,0,0,0,0,0,0,0,8,8,8,8,8,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,29:04:2011,12:00:00,119,-999.,0.039723,0.047919,-999.,-999.,0.061227,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.096518,-999.,-999.,0.102685,-999.,-999.,0.137899,0.131202,2.290330,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.164054,1.433271,1.284113,1.265704,1.143116,-999.,0,12,12,0,0,12,0,0,0,0,0,0,0,0,12,0,0,12,0,0,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,30:04:2011,12:00:00,120,-999.,0.042255,0.052065,-999.,-999.,0.069247,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.106140,-999.,-999.,0.113881,-999.,-999.,0.144514,0.138307,1.661931,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.200891,1.272039,1.260047,1.291876,1.003533,-999.,0,44,44,0,0,44,0,0,0,0,0,0,0,0,44,0,0,44,0,0,44,42,44,0,0,0,0,0,0,0,44,44,44,44,44,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,01:05:2011,12:00:00,121,-999.,0.039103,0.045149,-999.,-999.,0.055999,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.093205,-999.,-999.,0.100180,-999.,-999.,0.147433,0.150251,2.770092,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.258714,1.680078,1.427078,1.327111,1.594929,-999.,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,03:05:2011,12:00:00,123,-999.,0.038178,0.043841,-999.,-999.,0.053997,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.085643,-999.,-999.,0.095237,-999.,-999.,0.128327,0.131934,1.291128,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.192318,1.456229,1.359285,1.217917,1.255062,-999.,0,37,37,0,0,37,0,0,0,0,0,0,0,0,37,0,0,37,0,0,37,37,37,0,0,0,0,0,0,0,37,37,37,37,37,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,04:05:2011,12:00:00,124,-999.,0.121432,0.150643,-999.,-999.,0.214093,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.340463,-999.,-999.,0.404233,-999.,-999.,0.493316,0.530925,1.486400,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.466411,1.336605,1.503939,1.477372,0.999138,-999.,0,33,33,0,0,33,0,0,0,0,0,0,0,0,33,0,0,33,0,0,33,30,33,0,0,0,0,0,0,0,33,33,33,33,33,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,05:05:2011,12:00:00,125,-999.,0.059717,0.072167,-999.,-999.,0.095605,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.146420,-999.,-999.,0.165208,-999.,-999.,0.208763,0.212771,1.338759,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.259332,1.346809,1.331843,1.293680,1.075251,-999.,0,47,47,0,0,47,0,0,0,0,0,0,0,0,47,0,0,47,0,0,47,46,47,0,0,0,0,0,0,0,47,47,47,47,47,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
Sao_Paulo,06:05:2011,12:00:00,126,-999.,0.062760,0.074188,-999.,-999.,0.099973,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.159655,-999.,-999.,0.184405,-999.,-999.,0.238149,0.252117,2.041842,-999.,-999.,-999.,-999.,-999.,-999.,-999.,1.365785,1.454343,1.453774,1.388736,1.271705,-999.,0,16,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,16,17,0,0,0,0,0,0,0,17,17,17,17,17,0,lev20,196,Sao_Paulo,-23.561500,-46.734983,786.000000<br>
